PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
892,3,0,39.4,0,0,8.05,0
893,2,0,46.3,0,2,87.72,1
894,2,0,25.0,0,0,11.53,0
895,3,0,24.9,0,0,7.7,0
896,2,1,28.8,0,0,69.36,1
897,1,0,12.5,3,1,58.53,0
898,1,1,20.8,0,0,27.16,1
899,2,0,55.1,0,0,24.55,0
900,1,1,36.9,0,0,25.1,1
901,2,0,33.2,1,0,10.7,0
902,3,0,35.2,3,0,7.25,0
903,1,0,26.0,1,0,35.42,0
904,1,0,17.9,1,0,129.37,1
905,2,1,27.0,1,0,12.08,0
906,2,0,32.3,0,1,98.67,1
907,2,1,20.3,0,0,50.68,1
908,3,1,32.2,0,0,47.86,0
909,2,0,5.2,0,0,7.25,0
910,3,0,39.0,0,1,109.54,1
911,3,1,31.9,0,0,144.53,1
912,3,0,34.8,0,0,7.25,0
913,1,0,34.4,2,0,12.41,0
914,2,1,31.1,0,0,200.51,1
915,2,0,30.0,0,0,7.25,0
916,1,1,25.7,0,2,28.61,1
917,3,0,34.9,0,0,30.81,0
918,2,1,35.0,1,0,25.2,1
919,1,0,59.5,0,0,21.09,0
920,2,0,17.2,0,2,26.14,0
921,2,1,37.2,2,1,7.25,0
922,3,0,34.0,0,0,18.58,0
923,3,0,48.0,0,0,23.05,0
924,3,1,31.0,0,0,76.5,1
925,2,0,32.2,0,0,20.51,1
926,2,1,55.3,0,0,24.0,0
927,2,0,37.2,0,1,29.7,0
928,2,1,25.1,0,2,36.95,1
929,3,1,19.0,1,0,74.85,1
930,3,0,39.1,0,0,10.93,0
931,3,0,19.9,2,0,60.4,0
932,3,1,37.2,1,0,64.65,0
933,3,0,30.1,0,0,11.86,0
934,3,0,19.5,3,0,22.18,0
935,3,1,29.8,1,1,94.25,1
936,1,1,34.2,2,0,130.99,1
937,3,0,37.7,1,0,23.89,0
938,2,0,21.0,0,0,20.54,0
939,2,0,27.9,0,0,21.09,0
940,1,0,28.8,0,0,100.83,1
941,1,1,15.1,0,0,61.68,1
942,3,0,4.7,0,0,33.54,0
943,1,1,33.4,1,0,64.17,0
944,1,1,22.3,1,0,63.82,1
945,3,1,20.2,0,0,93.65,1
946,2,0,47.5,0,0,7.25,0
947,3,1,21.8,0,0,26.89,0
948,3,0,27.7,0,0,14.15,0
949,2,1,14.8,0,1,22.7,0
950,2,0,33.6,0,2,7.25,0
951,1,1,20.8,0,0,76.7,1
952,2,0,34.7,0,1,7.25,0
953,3,1,22.9,0,0,10.96,0
954,3,0,41.6,0,0,10.96,0
955,3,0,35.6,0,1,49.26,1
956,3,0,28.2,1,0,30.02,0
957,2,0,41.2,0,1,116.32,1
958,1,1,31.9,0,0,185.44,1
959,2,0,29.3,0,0,12.17,0
960,3,0,30.8,0,0,7.25,0
961,1,0,17.2,0,1,26.85,1
962,1,1,30.9,1,1,24.16,1
963,1,1,24.4,0,0,82.68,0
964,3,0,19.4,0,0,102.57,1
965,1,0,28.2,0,0,17.21,0
966,1,1,31.9,0,2,95.38,1
967,2,0,20.2,0,2,41.53,0
968,3,1,33.9,0,2,7.25,0
969,2,1,28.2,0,0,85.44,1
970,3,0,59.5,0,0,10.85,0
971,2,1,18.3,2,2,24.45,1
972,3,0,43.4,0,1,25.78,0
973,3,0,23.5,0,0,28.28,0
974,3,0,46.3,0,0,83.56,0
975,3,0,24.9,1,0,38.23,0
976,2,0,31.1,2,1,31.38,0
977,3,0,31.6,2,0,7.49,0
978,2,1,9.6,1,0,26.63,1
979,2,0,43.3,0,0,125.15,1
980,1,0,35.7,0,0,86.97,1
981,2,1,48.8,0,0,21.05,0
982,1,0,46.0,1,1,47.78,1
983,1,0,32.0,0,0,52.01,0
984,3,1,3.2,0,0,75.19,1
985,1,1,29.8,0,0,7.97,0
986,2,0,30.2,0,0,24.82,0
987,2,1,43.4,0,0,10.88,0
988,2,1,21.4,1,0,58.5,1
989,3,0,15.4,1,2,7.25,0
990,1,1,35.4,0,0,31.22,1
991,3,0,40.8,0,0,13.29,0
992,1,1,34.9,0,0,59.42,1
993,3,0,35.0,0,0,10.0,0
994,2,1,22.6,2,0,7.3,0
995,3,0,16.9,0,0,17.42,0
996,2,1,15.6,0,0,38.36,1
997,2,0,28.5,0,0,82.51,0
998,2,1,22.5,0,0,8.72,0
999,1,0,24.7,0,2,18.38,0
1000,2,1,23.5,0,2,8.37,0
1001,3,0,40.8,1,0,10.91,0
1002,3,0,9.8,0,0,7.25,0
1003,1,1,28.6,0,0,56.09,1
1004,1,1,40.1,1,1,36.16,1
1005,2,1,21.1,0,2,49.19,1
1006,3,0,32.5,0,0,173.24,1
1007,3,0,23.1,0,0,38.19,0
1008,2,0,36.1,0,0,24.7,0
1009,1,0,22.9,0,0,113.28,1
1010,2,0,31.2,2,0,9.76,0
1011,3,1,48.1,0,2,73.83,1
1012,1,1,32.1,0,1,73.23,1
1013,2,0,25.6,0,0,11.72,0
1014,2,1,33.7,1,0,43.03,1
1015,1,0,35.3,1,0,14.11,0
1016,3,0,42.3,0,0,26.31,0
1017,1,1,44.3,0,0,151.5,1
1018,3,0,34.6,0,0,17.69,0
1019,3,0,14.5,1,2,65.8,1
1020,2,0,55.5,1,2,14.93,0
1021,3,0,48.5,3,1,7.25,0
1022,3,1,31.7,0,0,21.1,0
1023,3,0,45.2,0,0,7.25,0
1024,3,1,12.5,0,0,93.56,1
1025,1,0,14.2,0,0,8.49,0
1026,2,0,55.0,0,0,7.25,0
1027,1,0,45.6,0,2,14.64,0
1028,3,0,31.2,2,0,9.24,0
1029,1,0,30.7,0,0,16.5,0
1030,2,0,0.9,0,0,48.17,1
1031,3,0,45.2,0,0,57.58,0
